metric,value
Bus:avg_utilization,0.789314
Bus:direction_rev_count,0
Bus:efficiency,0.333111
Bus:transferred_bytes,96064
Bus:transferred_payloads,32000
Host-0:2:avg_evict_wait_ns,0
Host-0:2:avg_latency_ns,1031.78
Host-0:2:bw_gbps,1.98204
Host-0:avg_evict_wait_ns,0
Host-0:avg_latency_ns,1031.78
Host-0:bw_gbps,1.98204
Host-0:cache_evict_count,0
Host-0:cache_hit_count,0
Host-0:random_seed,42
Host-0:req_count,500
id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
94,Non-temporal read,2,3d7607c0,2129,3185,857,48,0,0,0,0,0,71,1056
95,Non-temporal read,2,ee4eb80,2161,3217,857,48,0,0,0,0,0,71,1056
96,Non-temporal read,2,ae6afc0,2193,3249,857,48,0,0,0,0,0,71,1056
97,Non-temporal read,2,9e8e1c0,2225,3281,846,48,0,0,0,0,0,82,1056
98,Non-temporal read,2,f7fa440,2257,3313,857,48,0,0,0,0,0,71,1056
99,Non-temporal read,2,2fc42500,2289,3345,857,48,0,0,0,0,0,71,1056
100,Non-temporal read,2,5164000,2321,3377,857,48,0,0,0,0,0,71,1056
101,Non-temporal read,2,2acac600,2353,3409,879,48,0,0,0,0,0,49,1056
102,Non-temporal read,2,31156900,2385,3441,857,48,0,0,0,0,0,71,1056
103,Non-temporal read,2,25e36580,2417,3473,857,48,0,0,0,0,0,71,1056
104,Non-temporal read,2,1f0d4dc0,2449,3505,857,48,0,0,0,0,0,71,1056
105,Non-temporal read,2,266bcb00,2481,3537,857,48,0,0,0,0,0,71,1056
106,Non-temporal read,2,bd0d3c0,2513,3569,857,48,0,0,0,0,0,71,1056
107,Non-temporal read,2,353a3f40,2545,3601,857,48,0,0,0,0,0,71,1056
108,Non-temporal read,2,1555e5c0,2577,3633,857,48,0,0,0,0,0,71,1056
109,Non-temporal read,2,24e2fe80,2609,3665,857,48,0,0,0,0,0,71,1056
110,Non-temporal read,2,1341e040,2641,3697,846,48,0,0,0,0,0,82,1056
111,Non-temporal read,2,27e8b780,2673,3729,857,48,0,0,0,0,0,71,1056
112,Non-temporal read,2,38b11b00,2705,3761,857,48,0,0,0,0,0,71,1056
113,Non-temporal read,2,554dac0,2737,3793,857,48,0,0,0,0,0,71,1056
114,Non-temporal read,2,26529c00,2769,3825,857,48,0,0,0,0,0,71,1056
115,Non-temporal read,2,10f0c600,2801,3857,847,48,0,0,0,0,0,81,1056
117,Non-temporal read,2,2af25300,2865,3889,825,48,0,0,0,0,0,71,1024
116,Non-temporal read,2,209cd680,2833,3921,837,48,0,0,0,0,0,123,1088
118,Non-temporal read,2,1469880,2897,3953,857,48,0,0,0,0,0,71,1056
119,Non-temporal read,2,3ae14800,2929,3985,856,48,0,0,0,0,0,72,1056
120,Non-temporal read,2,3c057d40,2961,4017,857,48,0,0,0,0,0,71,1056
121,Non-temporal read,2,3d3b65c0,2993,4049,857,48,0,0,0,0,0,71,1056
122,Non-temporal read,2,39ac8640,3025,4081,857,48,0,0,0,0,0,71,1056
123,Non-temporal read,2,3dd69540,3057,4113,857,48,0,0,0,0,0,71,1056
124,Non-temporal read,2,b99c340,3089,4145,879,48,0,0,0,0,0,49,1056
125,Non-temporal read,2,72fd100,3121,4177,857,48,0,0,0,0,0,71,1056
126,Non-temporal read,2,32917180,3153,4209,857,48,0,0,0,0,0,71,1056
127,Non-temporal read,2,3be3f600,3185,4241,857,48,0,0,0,0,0,71,1056
128,Non-temporal read,2,161c7480,3217,4273,857,48,0,0,0,0,0,71,1056
129,Non-temporal read,2,3825e740,3249,4305,857,48,0,0,0,0,0,71,1056
130,Non-temporal read,2,3bc7dc80,3281,4337,857,48,0,0,0,0,0,71,1056
131,Non-temporal read,2,2152bdc0,3313,4369,857,48,0,0,0,0,0,71,1056
132,Non-temporal read,2,135d1540,3345,4401,857,48,0,0,0,0,0,71,1056
133,Non-temporal read,2,399efc80,3377,4433,857,48,0,0,0,0,0,71,1056
134,Non-temporal read,2,1d84f080,3409,4465,857,48,0,0,0,0,0,71,1056
135,Non-temporal read,2,3817cc00,3441,4497,857,48,0,0,0,0,0,71,1056
136,Non-temporal read,2,12399200,3473,4529,857,48,0,0,0,0,0,71,1056
137,Non-temporal read,2,120fd380,3505,4561,847,48,0,0,0,0,0,81,1056
138,Non-temporal read,2,33810100,3537,4593,856,48,0,0,0,0,0,72,1056
139,Non-temporal read,2,12856840,3569,4625,857,48,0,0,0,0,0,71,1056
140,Non-temporal read,2,399c6300,3601,4657,857,48,0,0,0,0,0,71,1056
141,Non-temporal read,2,13b26b40,3633,4689,857,48,0,0,0,0,0,71,1056
142,Non-temporal read,2,8958400,3665,4721,857,48,0,0,0,0,0,71,1056
143,Non-temporal read,2,34191c40,3697,4753,857,48,0,0,0,0,0,71,1056
144,Non-temporal read,2,1c2ca540,3729,4785,857,48,0,0,0,0,0,71,1056
145,Non-temporal read,2,3f35fe00,3761,4817,857,48,0,0,0,0,0,71,1056
146,Non-temporal read,2,1605ddc0,3793,4849,857,48,0,0,0,0,0,71,1056
147,Non-temporal read,2,2a69eb40,3825,4881,847,48,0,0,0,0,0,81,1056
148,Non-temporal read,2,d1cc700,3857,4913,856,48,0,0,0,0,0,72,1056
149,Non-temporal read,2,10fcb980,3889,4945,857,48,0,0,0,0,0,71,1056
150,Non-temporal read,2,2efaa000,3921,4977,857,48,0,0,0,0,0,71,1056
151,Non-temporal read,2,110a9180,3953,5009,857,48,0,0,0,0,0,71,1056
152,Non-temporal read,2,160030c0,3985,5041,857,48,0,0,0,0,0,71,1056
153,Non-temporal read,2,2fd68e80,4017,5073,847,48,0,0,0,0,0,81,1056
155,Non-temporal read,2,26d9aa80,4081,5105,825,48,0,0,0,0,0,71,1024
